SS,Source PubMed,Question,Answer,Reasoning,Factuality_Score,Reasoning_Score,Completeness_Score
209,https://pubmed.ncbi.nlm.nih.gov/25695367/,"A 70-year-old male residing in the Netherlands presents to the dermatology department with a persistent, progressive lesion on his right dorsal wrist. The lesion began as a painful red swelling five weeks after he scratched his wrist on a wall. Over several months, it evolved into a deep ulcer with fistula formation and significant edema of the hand. His medical history is notable for leprosy treated decades ago. He denies recent travel, reporting his last trip abroad was 8 months prior to Suriname, where he spent time fishing in creeks. Histopathological examination of a biopsy shows non-specific inflammation with no acid-fast bacilli visible on staining. Standard bacterial cultures are negative. However, a mycobacterial culture incubated at 30°C yields growth after 6 weeks, whereas cultures incubated at 37°C and 45°C remain negative. What is the most likely diagnosis?",Buruli Ulcer (Mycobacterium ulcerans infection),"1. Epidemiology/Risk: The patient has a history of exposure to a tropical wetland environment (Suriname creeks) which is endemic for *Mycobacterium ulcerans*. The unique aspect here is the delayed presentation (latency) triggered by trauma in a non-endemic region (Netherlands). 2. Clinical Anchor: The presentation of a chronic, necrotic ulcer with undermined edges (or extensive edema/fistulae) that fails standard wound care is characteristic. The definitive microbiological anchor is the specific growth requirement: the organism is a thermolabile mycobacterium that grows *only* at lower temperatures (30–32°C) and not at body temperature (37°C). 3. Differential Exclusion: *Mycobacterium marinum* shares the low-temperature growth preference but typically presents as superficial nodules or sporotrichoid lymphangitis following aquarium/fish exposure, rather than the deep, necrotizing, undermining ulcer seen in Buruli ulcer. Cutaneous tuberculosis grows at 37°C. 4. Confirmation: The diagnosis is confirmed by the isolation of *M. ulcerans* (strain phenotypically matched to South American variants) and/or PCR for the IS2404 insertion sequence.",10,10,5
210,https://pubmed.ncbi.nlm.nih.gov/38329944/,"A 73-year-old retired male from the southeastern coast of Australia presents with a 2-month history of a painful, ulcerative lesion on his scalp. He has no significant past medical history. Examination reveals an indurated plaque measuring 20 x 15 mm with central ulceration of 6 x 6 mm. A superficial swab of the ulcer is positive for Mycobacterium ulcerans DNA by PCR. He is treated with an 8-week course of rifampicin and clarithromycin. While the lesion shows initial signs of healing, the skin remains irregular and regression of healing is noted over the subsequent 2 months (8 months post-presentation). Given the atypical location (scalp) and incomplete resolution, a biopsy is performed. What is the most likely diagnosis explaining the lesion's persistence?",Concurrent Squamous Cell Carcinoma and Buruli Ulcer,"1. Epidemiology/Risk: The patient resides in an endemic region for *Mycobacterium ulcerans* (coastal Australia), explaining the initial Buruli ulcer diagnosis. However, the scalp is a highly atypical site for Buruli ulcer (usually limbs) but a very common site for cutaneous malignancies in elderly individuals. 2. Clinical Anchor: The \""red flag\"" is the incomplete healing and persistent irregularity despite appropriate antibiotic therapy for the confirmed *M. ulcerans* infection. While Buruli ulcer can have delayed healing, the atypical location and persistence suggest a dual pathology. 3. Differential Exclusion: Paradoxical reaction typically presents with increased inflammation during treatment, not persistent neoplastic-appearing irregularity after treatment completion; Secondary infection would likely present with acute inflammatory signs (purulence, increased pain) rather than a persistent non-healing plaque. 4. Confirmation: The diagnosis is confirmed by histopathology showing invasive squamous cell carcinoma within the same lesion that tested PCR-positive for *M. ulcerans*, representing a rare collision of an infectious ulcer and a malignancy.",10,10,5
211,https://pubmed.ncbi.nlm.nih.gov/38148684/,"A 42-year-old male from Northeast Brazil presents to the dermatology clinic with a 5-day history of an intensely pruritic eruption on his left foot. He reports playing volleyball on a sandy beach a few days prior to the onset of symptoms. He has no systemic symptoms such as fever or cough. Physical examination reveals a 2-cm, slightly elevated, erythematous, serpiginous tract located between the third and fourth toes on the dorsal aspect of the left foot. Laboratory evaluation shows a normal eosinophil count. What is the most likely diagnosis?",Cutaneous Larva Migrans,"1. Epidemiology/Risk: The patient resides in a tropical region (Brazil) and has a specific history of direct skin contact with sandy soil (beach volleyball), which is a high-risk environment for soil contaminated with animal feces (hookworm larvae). 2. Clinical Anchor: The pathognomonic physical finding is the 'creeping eruption': a serpiginous (snake-like), erythematous, and pruritic tract that represents the migration of the larvae through the epidermis . 3. Differential Exclusion: Tinea pedis typically presents with scaling, maceration, or annular lesions, not linear migratory tracts. Scabies burrows are short, linear, and usually found in web spaces or wrists, but lack the progressive, serpiginous extension seen here. Larva currens (Strongyloides) moves much faster (cm/hour) and is often perianal. 4. Confirmation: The diagnosis is clinical, confirmed by the distinctive morphological appearance of the tract and the history of exposure to contaminated sand/soil.",10,10,5
212,https://pubmed.ncbi.nlm.nih.gov/37580078/,"A 26-year-old female presents to the dermatology clinic with multiple tense bullae and intensely pruritic, migrating linear lesions on the plantar surface of her left foot and toes. She returned 13 days ago from a vacation in Jamaica, where she recalls walking barefoot on the beach. Her symptoms began as simple itching one day after the beach exposure but have progressively worsened. Nine days prior to presentation, she was treated by her primary care physician with oral mebendazole and prednisone, but she continued to develop new tracks and bullae despite adherence to therapy. She denies systemic symptoms such as fever or cough. Physical examination reveals serpiginous, erythematous tracts with associated tense blistering on the sole of the foot. . What is the most likely diagnosis?",Bullous Cutaneous Larva Migrans,"1. Epidemiology/Risk: The patient has a clear travel history to a tropical region (Jamaica) with specific high-risk behavior (walking barefoot on a beach), which exposes her to soil contaminated with hookworm larvae. 2. Clinical Anchor: The hallmark finding is the 'creeping eruption' (serpiginous, migratory tracks). This specific case presents with a less common but recognized variant: *bullous* lesions accompanying the tracks, which can sometimes confuse the diagnosis. 3. Differential Exclusion: Bullous Tinea Pedis is a differential but typically presents with vesicles/bullae without the characteristic migratory, linear tracks. Allergic Contact Dermatitis could cause bullae but would lack the serpiginous progression and travel association. 4. Confirmation: The diagnosis is confirmed by the classic clinical appearance of migratory tracks in a returning traveler, complicated by bullae (likely a hypersensitivity reaction to larval antigens), and the failure of mebendazole (which has low bioavailability) followed by resolution with ivermectin.",10,10,5
213,https://pubmed.ncbi.nlm.nih.gov/33363899/,"A 66-year-old female presents to the clinic with a 1-month history of an intensely pruritic rash on her left foot. The patient resides in Jacksonville, Florida, and denies any recent travel, beach exposure, or fever. She reports that the rash appeared after scratching and has spread longitudinally. She is an avid gardener but consistently wears shoes and socks. She does not own pets, though she notes neighborhood cats frequent her garden. On physical examination, there is a serpiginous, raised, erythematous tract on the dorsal aspect of the left foot extending to the plantar surface. There is no warmth, purulence, or lymphadenopathy. What is the most likely diagnosis?",Cutaneous Larva Migrans,"1. Epidemiology/Risk: While often associated with tropical travel or beaches, this case highlights that the condition can occur in urban settings in subtropical climates (Florida) due to exposure to soil contaminated by animal feces (cats in the garden). 2. Clinical Anchor: The pathognomonic finding is the 'creeping eruption'—a serpiginous (snake-like), pruritic tract that represents the epidermal migration of animal hookworm larvae. . 3. Differential Exclusion: Scabies presents with short burrows and is usually generalized (web spaces, wrists) rather than a long, single wandering tract on the foot. Tinea pedis causes scaling and annular lesions, not linear tracts. 4. Confirmation: The diagnosis is clinical, based on the characteristic migratory morphology and the risk factor of gardening in soil potentially contaminated by feline hookworms (*Ancylostoma braziliense* or *A. caninum*).",10,10,5
214,https://pubmed.ncbi.nlm.nih.gov/32383433/,"A 28-year-old female presents to the emergency clinic with an intensely pruritic rash on her anterior abdominal wall and buttocks. She returned recently from a scuba-diving holiday in Thailand. The eruption began as a single pustule but rapidly progressed to extensive, itchy papules involving both buttocks over the course of three days. She denies fever, cough, or gastrointestinal symptoms. A prior course of oral flucloxacillin prescribed by her primary care physician for suspected bacterial folliculitis yielded no improvement. On physical examination, there are numerous erythematous follicular papules on the abdomen and buttocks. Careful inspection reveals subtle, short serpiginous tracts connecting some of the papules. . There are no burrows typical of scabies and no lymphadenopathy. Laboratory evaluation reveals significant peripheral eosinophilia (3.77 × 10⁹/L). HIV serology is negative. What is the most likely diagnosis?",Follicular Cutaneous Larva Migrans,"1. Epidemiology/Risk: The patient is a traveler returning from a tropical region (Thailand) with a specific skin eruption on the buttocks/abdomen, likely from sitting on contaminated sand/soil (beach exposure), which is the classic risk factor for hookworm larvae. 2. Clinical Anchor: While the classic presentation is a linear creeping eruption, this case presents the *follicular* variant. The anchor is the intensely pruritic, follicular papular rash that fails antibiotic therapy, combined with the subtle but diagnostic finding of short serpiginous tracts connecting the papules. 3. Differential Exclusion: Bacterial Folliculitis (S. aureus or Pseudomonas) is the primary differential but is excluded by the lack of response to flucloxacillin and the presence of serpiginous tracts. Scabies causes pruritic papules but typically involves web spaces/wrists with distinct burrows, not the specific serpiginous tracks seen here. 4. Confirmation: The diagnosis is confirmed by the clinical constellation of a pruritic follicular eruption with serpiginous elements in a returning traveler, supported by marked eosinophilia (hypersensitivity to the parasite) and rapid resolution with ivermectin.",10,10,5
215,https://pubmed.ncbi.nlm.nih.gov/30843502/,"A 26-year-old female presents to the dermatology clinic with a 2-week history of multiple intensely pruritic, serpiginous, erythematous tracts on her right upper and lower extremities. She also reports a 1-week history of nonproductive cough and occasional dyspnea. She returned one month ago from a vacation in Sabah, Malaysia, where she recalls burying her body in the sand on the beach. She denies fever or gastrointestinal symptoms. Physical examination reveals raised, linear, creeping eruptions on the extremities. . Laboratory evaluation shows mild peripheral eosinophilia. A chest CT scan demonstrates ill-defined reticulonodular infiltrates in both lungs. What is the most likely diagnosis?",Cutaneous Larva Migrans with Löeffler's Syndrome,"1. Epidemiology/Risk: The patient has a specific travel history to a tropical region (Malaysia) and high-risk behavior (burying body in sand), exposing her to soil contaminated with hookworm larvae. 2. Clinical Anchor: The primary anchor is the pathognomonic 'creeping eruption' (cutaneous larva migrans) caused by the migration of larvae through the epidermis. The secondary anchor is the pulmonary involvement (cough, infiltrates) and eosinophilia, which constitutes Löeffler's syndrome (pulmonary eosinophilia) triggered by the parasitic infestation. 3. Differential Exclusion: Strongyloidiasis (Larva Currens) presents with much faster-moving tracts (cm/hour) and perianal involvement, unlike the slower hookworm tracts. Pneumonia (bacterial/viral) would explain the cough/infiltrates but not the serpiginous skin lesions or the specific travel-related sand exposure. 4. Confirmation: The diagnosis is confirmed by the classic cutaneous findings in a traveler, supported by reflectance confocal microscopy showing a burrow/larva, and the resolution of both skin and pulmonary symptoms (and CT findings) following albendazole therapy.",10,10,5
216,https://pmc.ncbi.nlm.nih.gov/articles/PMC5674713/,"A 52-year-old male presents with a one-year history of intense pruritus and painful skin lesions involving his hands, left foot, and the stump of his previously amputated right leg. He reports that the symptoms began shortly after moving to a peripheral neighborhood where he resides on a lot previously used as a pigsty. Physical examination reveals numerous papular-nodular, hyperkeratotic lesions with distinct central black puncta. On the left foot, these lesions have coalesced into extensive crusted plaques . Dermoscopic evaluation visualizes a brownish organism moving within the lesions. What is the most likely diagnosis?",Disseminated Tungiasis,"1. Epidemiology/Risk: The patient resides in a resource-poor environment with direct exposure to soil likely contaminated by animal hosts (specifically pigs), which are common reservoirs for the parasite. 2. Clinical Anchor: The pathognomonic sign is the multiple hyperkeratotic nodules featuring a central black dot (the posterior segment of the gravid female flea), appearing in both typical (feet) and ectopic (hands, amputation stump) locations. 3. Differential Exclusion: Scabies is a key differential due to the intense pruritus and environmental risk; however, scabies presents with serpiginous burrows and lacks the characteristic crater-like nodules with central black plugs found in this patient. 4. Confirmation: The diagnosis is confirmed by the dermoscopic identification of the flea (*Tunga penetrans*) embedded within the epidermis or by histopathological examination.",10,10,5
217,https://pmc.ncbi.nlm.nih.gov/articles/PMC8318393/,"A 12-year-old male presents to a clinic in Popayán, Colombia, with a 1-month history of painful, pruritic skin lesions on both feet. He reports that the lesions have been stable but irritating. He resides in an urban area but notes the presence of stray dogs in his neighborhood. Physical examination of the soles and toes reveals multiple distinct, firm papules. Each lesion is characterized by a thick, white hyperkeratotic halo surrounding a central, necrotic-appearing black dot . There is mild surrounding erythema but no purulent discharge. What is the most likely diagnosis?",Tungiasis (Sand Flea Infestation),"1. Epidemiology/Risk: The patient lives in an endemic region (South America/Colombia) and has a history of exposure to potential animal reservoirs (stray dogs), which facilitates the transmission of the parasite. 2. Clinical Anchor: The hallmark physical finding is the nodule with a central black punctum (the posterior segment of the gravid female *Tunga penetrans* flea breathing through the skin), often described as a white halo with a dark center. 3. Differential Exclusion: Plantar warts (Verruca plantaris) are a primary differential due to the hyperkeratotic appearance; however, they typically present with thrombosed capillaries (multiple small black dots) rather than a single large central black plug and lack the specific crater-like morphology. 4. Confirmation: The diagnosis is confirmed by the specific morphology or by surgical extraction and parasitological identification of the flea.",10,10,5
218,https://pmc.ncbi.nlm.nih.gov/articles/PMC9427953/,"A 60-year-old male pig-farm worker from rural Colombia presents with a two-month history of itchy skin lesions on the soles of his feet. He reports frequently walking barefoot. Physical examination reveals clusters of monomorphic yellowish-brown papules and nodules, primarily involving the soles and interdigital spaces. Many of these lesions feature a distinct central black dot surrounded by an indurated halo . There is associated xerosis. What is the most likely diagnosis?",Tungiasis (Sand Flea Infestation),"1. Epidemiology/Risk: The patient lives in a rural endemic area (Colombia) and has specific occupational and behavioral risk factors: working on a pig farm (pigs are major reservoirs) and walking barefoot on potentially contaminated soil. 2. Clinical Anchor: The characteristic presentation of yellowish-brown nodules with a central black punctum (the posterior segment of the flea breathing through the skin) is pathognomonic for tungiasis. 3. Differential Exclusion: Plantar warts (verrucae) are a differential but typically present with thrombosed capillaries (multiple small black dots) rather than a single large central plug and lack the specific crater-like morphology. Myiasis involves larvae rather than the specific nodular flea presentation. 4. Confirmation: The diagnosis is confirmed by the surgical extraction of the parasite, where light microscopy reveals the flea (*Tunga spp.*) and its eggs.",10,10,5
219,https://pmc.ncbi.nlm.nih.gov/articles/PMC10200815/,"A 28-year-old homeless male with a history of untreated psychiatric illness is brought to the dermatology clinic for evaluation of extensive, disfiguring skin lesions. He has been living on the streets in conditions of poor hygiene. Physical examination reveals exuberant, hyperkeratotic, verrucous plaques distributed over the feet, hands, elbows, knees, and gluteal region. Upon closer inspection of the crusts, confluent yellowish papules are visible, each featuring a white keratotic halo surrounding a central black punctum . Dermoscopic evaluation reveals a yellowish structure with a brown central spot. What is the most likely diagnosis?",Verrucous Tungiasis (Disseminated Tungiasis),"1. Epidemiology/Risk: The patient's severe social neglect (homelessness, mental illness) is a major risk factor for massive, untreated parasitic infestations, leading to the \""exuberant\"" presentation seen here. 2. Clinical Anchor: The key diagnostic feature is the multiple papules with a central black dot (representing the posterior segment of the embedded female flea *Tunga penetrans*). The \""verrucous\"" texture results from pseudoepitheliomatous hyperplasia caused by the chronic, high-burden infestation. 3. Differential Exclusion: While the hyperkeratotic plaques mimic Verruca vulgaris (warts) or cutaneous tuberculosis (verrucosa cutis), the presence of the specific central black puncta within the lesions excludes these etiologies. 4. Confirmation: The diagnosis is confirmed by the visualization of the flea parts (eggs, larvae, or adult) via dermoscopy or histopathology.",10,10,5
220,https://pmc.ncbi.nlm.nih.gov/articles/PMC8592322/,"A 33-year-old male from the Netherlands presents to a clinic with a 3-day history of painful, pruritic lesions on the soles of his feet. He recently returned from an 8-day trip to the Amazon rainforest in Ecuador, where he stayed in indigenous communities, walked barefoot, and slept in huts with dirt floors. Physical examination reveals two distinct, raised papular lesions (5–6 mm in diameter) on the sole of the left foot. Each lesion is characterized by a well-circumscribed whitish halo surrounding a central blackish point . The lesions are painful to pressure. No other systemic symptoms such as fever or lymphadenopathy are present. What is the most likely diagnosis?",Tungiasis (Sand Flea Infestation),"1. Epidemiology/Risk: The patient has a clear travel history to an endemic region (Amazon rainforest) and behavioral risk factors (walking barefoot, sleeping on dirt floors) conducive to acquiring ectoparasites found in soil. 2. Clinical Anchor: The pathognomonic presentation is the papular lesion with a central black dot (the posterior segment of the embedded flea) surrounded by a white hypertrophic halo. 3. Differential Exclusion: While myiasis (fly larvae) or plantar warts could cause nodular foot lesions, the specific morphology of the central black punctum with the white halo, combined with the acute onset after barefoot exposure in a tropical setting, strongly favors Tungiasis. 4. Confirmation: The diagnosis is confirmed by the extraction of the parasite, which often releases white eggs, or by the characteristic clinical appearance.",10,10,5
221,https://pmc.ncbi.nlm.nih.gov/articles/PMC9902205/,"A 44-year-old female presents to the emergency department with a complaint of intermittent diarrhea, nausea, and persistent weight loss. Her past surgical history is significant for a gastric bypass procedure performed 12 years ago. Despite self-reporting adherence to a high-protein diet and constant hunger, she complains of progressive swelling in her arms, legs, and abdomen. Physical examination reveals pitting edema in the bilateral upper and lower extremities and a distended abdomen with a small amount of ascites confirmed by ultrasound. Laboratory evaluation demonstrates severe hypoproteinemia (Total Protein 4.2 g/dL), profound hypoalbuminemia (Albumin 2.1 g/dL, later dropping to 1.7 g/dL), and hypocalcemia (7.2 mg/dL). A small bowel series shows granular jejunal mucosa with irregular thickening of the proximal loop. What is the most likely diagnosis?",Kwashiorkor (Secondary to Gastric Bypass / Protein-Calorie Malnutrition),"1. Epidemiology/Risk: The patient has a history of gastric bypass surgery (12 years prior), which is a known but rare risk factor for severe malabsorptive malnutrition. 2. Clinical Anchor: The hallmark presentation of severe hypoalbuminemia (causing pitting edema and ascites) despite reported adequate or high caloric/protein intake ('constantly hungry,' 'eating high protein') is the classic definition of Kwashiorkor (wet malnutrition), distinct from Marasmus (dry wasting). 3. Differential Exclusion: Cirrhosis could cause ascites and hypoalbuminemia, but liver enzymes are not mentioned as the primary driver, and the specific history of bariatric malabsorption points elsewhere. Inflammatory Bowel Disease (IBD) was considered due to diarrhea/ulceration but was considered low suspicion on capsule endoscopy; the severity of protein loss out of proportion to inflammation favors a malabsorptive etiology. 4. Confirmation: The diagnosis is confirmed by the constellation of severe protein malnutrition (edema, hypoalbuminemia) in the context of surgically altered anatomy that impairs absorption, termed iatrogenic or secondary Kwashiorkor.",8,8,5
222,https://pmc.ncbi.nlm.nih.gov/articles/PMC8221124/,"A 38-year-old male with a history of schizophrenia presents to the emergency department with altered mental status and massive abdominal distension. The patient's mother reports he has become reclusive and has followed a strict plant-based diet consisting only of small amounts of raw vegetables for several months, avoiding gluten, sugar, and salt. Physical examination reveals cachexia with sunken orbits, 3+ bilateral lower extremity pitting edema, and a markedly distended, non-tender abdomen with a positive fluid wave. Laboratory evaluation demonstrates severe hypoalbuminemia (1.8 g/dL), normocytic anemia, and normal liver enzymes. Abdominal imaging confirms massive ascites and bilateral deep vein thromboses. Paracentesis yields transudative fluid with a serum-ascites albumin gradient (SAAG) > 1.1 g/dL. What is the most likely diagnosis?",Kwashiorkor (Protein-Energy Malnutrition),"1. Epidemiology/Risk: The patient has a significant risk factor: a severely restricted diet (exclusively raw vegetables) due to a psychiatric condition (schizophrenia/reclusiveness) leading to profound protein deficiency. 2. Clinical Anchor: The classic presentation of \""wet\"" malnutrition is characterized by the triad of hypoalbuminemia, edema (anasarca/ascites), and skin/hair changes (though skin changes aren't prominent here, the edema is massive). The presence of massive ascites and edema in the absence of liver failure or heart failure is key. 3. Differential Exclusion: Cirrhosis is a strong differential given the ascites and elevated SAAG; however, the liver enzymes are normal, INR is normal (1.2), and there is no history of alcohol use or hepatitis risk factors. Marasmus involves calorie deficiency leading to wasting but typically lacks the severe edema and hypoalbuminemia seen here. 4. Confirmation: The diagnosis is confirmed by the combination of the dietary history (protein starvation), severe hypoalbuminemia (1.8 g/dL), and the clinical improvement with nutritional rehabilitation.",8,10,5
223,https://pmc.ncbi.nlm.nih.gov/articles/PMC8733483/,"A 3-month-old infant is brought to the clinic by her mother with a 4-week history of extensive scaly skin lesions affecting the face, trunk, and extremities. The mother reports the infant has had chronic diarrhea for the past 6 weeks and has failed to gain appropriate weight. Physical examination reveals an irritable, dehydrated infant with generalized edema. Cutaneous examination shows dry, hyperpigmented, macular lesions that are desquamating in irregular patches, revealing underlying hypopigmentation, giving a 'flaky paint' appearance . The scalp hair is sparse, dry, and brittle. Laboratory studies demonstrate significant hypoalbuminemia (1.5 g/dL) and hypokalemia (2.1 mEq/L), with normal serum zinc levels. What is the most likely diagnosis?",Kwashiorkor (Severe Protein-Energy Malnutrition),"1. Epidemiology/Risk: The patient is an infant with a history of chronic diarrhea and failure to thrive, placing her at risk for nutritional deficiencies. 2. Clinical Anchor: The pathognomonic cutaneous finding is 'flaky paint dermatosis'—hyperpigmented, desquamating patches peeling off to reveal hypopigmented skin—combined with the classic triad of edema, irritability, and hair changes (sparse/brittle). 3. Differential Exclusion: Acrodermatitis enteropathica is a strong differential due to the rash and diarrhea but is excluded by the normal serum zinc levels. Pellagra (niacin deficiency) presents with photosensitive dermatitis (Casal's necklace), which differs from the generalized irregular peeling seen here. Marasmus involves severe wasting but lacks the characteristic edema and specific dermatosis of Kwashiorkor. 4. Confirmation: The diagnosis is confirmed by the clinical constellation of edema and the specific dermatosis, supported by the laboratory finding of severe hypoalbuminemia (1.5 g/dL) resulting from protein deficiency.",10,10,5
224,https://pmc.ncbi.nlm.nih.gov/articles/PMC10482601/,"A 35-year-old female with a history of severe alcohol use disorder and social isolation is admitted to the intensive care unit for acute respiratory failure. She reports a 20 kg weight loss over the preceding weeks. On physical examination, she is comatose (GCS 3) with reactive anisocoria and spastic hypertonia. There is generalized pitting edema, severe alopecia, and extensive erythematous, crusting skin plaques on the legs and elbows consistent with 'flaky paint' dermatosis . Laboratory evaluation reveals profound hypoalbuminemia (1.6 g/dL), pancytopenia, and coagulopathy (INR 2.27) with low Vitamin K-dependent factors. Notably, plasma ammonia is elevated at 185 µmol/L. Abdominal CT demonstrates diffuse hepatic steatosis but no evidence of cirrhosis or portosystemic shunting. Plasma amino acid chromatography shows a severe deficiency of essential amino acids (including arginine and citrulline) and elevated glutamine. What is the most likely diagnosis?",Kwashiorkor (Severe Protein-Energy Malnutrition) complicated by Hyperammonemia,"1. Epidemiology/Risk: The patient has severe social and nutritional neglect (alcoholism, isolation), leading to profound caloric and protein deprivation. 2. Clinical Anchor: The classic presentation of 'wet' malnutrition (edema), characteristic dermatosis (flaky paint plaques), and alopecia anchors the diagnosis to Kwashiorkor. The unexpected finding is the non-hepatic hyperammonemic coma. 3. Differential Exclusion: Decompensated Liver Cirrhosis is the primary differential for hyperammonemia and coagulopathy; however, imaging ruled out cirrhosis (showing only steatosis, typical of Kwashiorkor), and the specific amino acid profile (low essential AA, high glutamine, normal orotic acid) pointed to a functional urea cycle defect  caused by substrate depletion rather than hepatocellular failure. 4. Confirmation: The diagnosis is confirmed by the clinical phenotype of severe protein malnutrition and the resolution of hyperammonemia following the restoration of metabolic substrates and nitrogen scavenging, treating the functional N-acetylglutamate synthase deficiency induced by the catabolic state.",8,10,5
225,https://pmc.ncbi.nlm.nih.gov/articles/PMC7430309/,"A 5-month-old male infant is referred to a specialist clinic for failure to thrive. He was born full-term with a healthy birth weight of 2.42 kg. His growth was appropriate until two months of age, at which point exclusive breastfeeding was discontinued. Subsequently, his diet consisted of sweetened condensed milk, water, and occasional plain rice. Over the last three months, his weight has plateaued and dropped below the 3rd percentile for his age. On physical examination, the infant appears deceptively well-nourished with prominent, rounded cheeks ('cherubic' facies). There is no pallor or dysmorphism, but significant bilateral pitting edema is noted in the lower extremities . Laboratory evaluation reveals a normal complete blood count but significant hypoproteinemia and hypoalbuminemia. What is the most likely diagnosis?",Kwashiorkor (Protein-Energy Malnutrition),"1. Epidemiology/Risk: The patient is an infant with a clear history of improper weaning and dietary deficiency (switch from breastmilk to low-protein, high-carbohydrate sources like sweetened condensed milk and rice). 2. Clinical Anchor: The hallmark presentation is the paradox of a 'cherubic' or moon-faced appearance (due to fluid retention/edema) despite severe failure to thrive (weight <3rd percentile) and improper diet. The presence of bilateral pitting edema in a failing infant is the pathognomonic sign of 'wet' malnutrition. 3. Differential Exclusion: Marasmus presents with severe wasting and a 'old man' facies (loss of buccal fat) without edema; this patient has edema and retained buccal fat. Nephrotic syndrome causes edema and hypoalbuminemia but typically presents with significant proteinuria and hyperlipidemia, which are less likely given the clear dietary etiology. 4. Confirmation: The diagnosis is confirmed by the combination of nutritional history (protein deficiency), clinical findings (edema, growth failure), and laboratory evidence of hypoalbuminemia, which resolves with appropriate nutritional rehabilitation (F-75/F-100 formulas).",10,10,5
226, https://pmc.ncbi.nlm.nih.gov/articles/PMC7642733/ ,"A 66-year-old male is admitted to the intensive care unit with acute respiratory distress syndrome (ARDS) due to severe SARS-CoV-2 infection, requiring mechanical ventilation. During the third week of hospitalization, as his respiratory parameters and lymphocyte counts begin to improve, he develops marked peripheral hypereosinophilia (absolute count rising to 2,970/mm³) and passes unformed stools. He lacks other constitutional symptoms such as fever or rash. Standard bacteriological and virological stool studies are negative. What is the most likely diagnosis?",Giardiasis Reactivation (Giardia lamblia),"1. Epidemiology/Risk: The patient has severe COVID-19, which induces profound lymphopenia (depletion of CD4+ T-cells), creating a transient immunocompromised state that allows for the reactivation of latent parasitic infections. 2. Clinical Anchor: The emergence of unexplained, marked hypereosinophilia  coinciding with gastrointestinal symptoms (unformed stools) during the recovery phase of viral pneumonia is the key clinical clue pointing towards a parasitic etiology. 3. Differential Exclusion: Clostridioides difficile colitis is a common ICU complication but typically causes neutrophilia rather than eosinophilia; drug-induced hypersensitivity is unlikely given the absence of rash or renal dysfunction. 4. Confirmation: The diagnosis is confirmed by stool examination identifying Giardia specific antigens and the visualization of trophozoites and cysts , with prompt resolution of eosinophilia upon treatment with metronidazole.",0,0,5
227, https://pmc.ncbi.nlm.nih.gov/articles/PMC8262110/ ,"A 27-year-old male presents to the clinic reporting a six-month history of intermittent, burning epigastric abdominal pain and unintentional weight loss. The pain is non-radiating and does not correlate with food intake. He denies recent travel, hiking, or contact with sick individuals. He reports no changes in bowel habits, steatorrhea, or use of NSAIDs. Physical examination is unremarkable, with a soft, non-tender abdomen. Laboratory evaluation reveals a hemoglobin of 16.9 g/dL and a mild leukocytosis (12,700/mm³). Liver and kidney function tests are normal. Helicobacter pylori stool antigen testing is negative. Due to the persistence of symptoms, an upper endoscopy is performed, revealing congested duodenal mucosa. Biopsies are taken. What is the most likely diagnosis?",Giardiasis (Giardia lamblia infection),"1. Epidemiology/Risk: Giardiasis is a globally common intestinal parasite. While often associated with travel or contaminated water, it can occur sporadically. The patient is a young male with chronic symptoms. 2. Clinical Anchor: The presentation of chronic epigastric pain and weight loss without diarrhea (atypical but possible) often leads to endoscopic evaluation. The key diagnostic anchor is the biopsy finding of 'numerous parasites featuring double nuclei' attached to the duodenal villi. 3. Differential Exclusion: Peptic ulcer disease (H. pylori negative, no ulcers on endoscopy) and Celiac disease (biopsy would show villous atrophy, not surface parasites) are excluded. 4. Confirmation: The diagnosis is confirmed by the histological visualization of the characteristic trophozoites (pear-shaped with double nuclei) on the duodenal mucosal surface.",8,10,5
228, https://pmc.ncbi.nlm.nih.gov/articles/PMC11177821/ ,"A 60-year-old male with a history of stage 5 chronic kidney disease and type 2 diabetes mellitus presents for evaluation of severe anemia. He reports a two-month history of occasional dark stools. He denies overt hematochezia, hematemesis, or abdominal pain. Laboratory evaluation reveals a hemoglobin of 6.4 g/dL, mean corpuscular volume of 74.9 fL, and low iron stores. Esophagogastroduodenoscopy (EGD) is performed, revealing a single 10-mm nodule in the duodenal bulb. Histologic examination of the biopsy specimen shows preservation of villous architecture with hyperplasia of the submucosal glands (Brunner glands) and focal foveolar metaplasia. High-power magnification reveals multiple pear-shaped, binucleated microorganisms within the intervillous spaces. What is the most likely diagnosis?",Giardiasis,"1. Epidemiology/Risk: Giardiasis is a globally prevalent parasitic infection; while often asymptomatic, it can cause malabsorption and anemia, particularly in patients with comorbidities like CKD. 2. Clinical Anchor: The pathognomonic feature is the histologic finding of 'pear-shaped' trophozoites (Giardia lamblia) residing in the intervillous spaces of the duodenum. 3. Differential Exclusion: Helicobacter pylori would appear as curved rods on the epithelial surface, not pear-shaped protozoa; Celiac disease is characterized by villous atrophy and intraepithelial lymphocytosis, which were absent (villous architecture was preserved). 4. Confirmation: The diagnosis is confirmed by the morphological identification of Giardia trophozoites on the duodenal biopsy, which in this rare case, was found superimposed on Brunner Gland Hyperplasia.",10,10,5
